time,latency,throughput,bandwidth,power
0,0.00,0.00,0.00,0.00
10,0.00,0.00,0.00,0.00
20,0.00,0.00,0.00,0.00
30,0.00,0.00,0.00,0.00
40,0.00,0.00,0.49,0.00
50,0.00,0.00,0.59,0.00
60,0.00,0.00,0.49,0.00
70,0.00,0.00,0.42,0.00
80,0.00,0.00,0.49,0.00
90,0.00,0.00,0.55,0.00
100,0.00,0.00,0.59,0.00
110,0.00,0.00,0.54,0.00
120,0.00,0.00,0.66,0.00
130,0.00,0.00,0.61,0.00
140,0.00,0.00,0.64,0.00
150,0.00,0.00,0.66,0.00
160,0.00,0.00,0.62,0.00
170,0.00,0.00,0.70,0.00
180,0.00,0.00,0.66,0.00
190,0.00,0.00,0.68,0.00
200,0.00,0.00,0.65,0.00
210,0.00,0.00,0.62,0.00
220,0.00,0.00,0.68,0.00
230,0.00,0.00,0.69,0.00
240,0.00,0.00,0.66,0.00
250,0.00,0.00,0.68,0.00
260,0.00,0.00,0.65,0.00
270,0.00,0.00,0.66,0.00
280,0.00,0.00,0.68,0.00
290,0.00,0.00,0.72,0.00
300,0.00,0.00,0.73,0.00
310,0.00,0.00,0.71,0.00
320,0.00,0.00,0.72,0.00
330,0.00,0.00,0.69,0.00
340,0.00,0.00,0.73,0.00
350,0.00,0.00,0.74,0.00
360,0.00,0.00,0.75,0.00
370,0.00,0.00,0.78,0.00
380,0.00,0.00,0.81,0.00
390,0.00,0.00,0.79,0.00
400,0.00,0.00,0.80,0.00
410,0.00,0.00,0.80,0.00
420,0.00,0.00,0.81,0.00
430,0.00,0.00,0.81,0.00
440,0.00,0.00,0.84,0.00
450,0.00,0.00,0.84,0.00
460,0.00,0.00,0.85,0.00
470,0.00,0.00,0.87,0.00
480,0.00,0.00,0.87,0.00
490,0.00,0.00,0.86,0.00
500,0.00,0.00,0.88,0.00
510,0.00,0.00,0.88,0.00
520,0.00,0.00,0.88,0.00
530,0.00,0.00,0.89,0.00
540,0.00,0.00,0.92,0.00
550,0.00,0.00,0.93,0.00
560,0.00,0.00,0.93,0.00
570,0.00,0.00,0.93,0.00
580,0.00,0.00,0.93,0.00
590,0.00,0.00,0.91,0.00
600,0.00,0.00,0.90,0.00
610,0.00,0.00,0.93,0.00
620,0.00,0.00,0.93,0.00
630,0.00,0.00,0.92,0.00
640,0.00,0.00,0.90,0.00
650,0.00,0.00,0.91,0.00
660,0.00,0.00,0.91,0.00
670,0.00,0.00,0.91,0.00
680,0.00,0.00,0.93,0.00
690,0.00,0.00,0.93,0.00
700,0.00,0.00,0.94,0.00
710,0.00,0.00,0.94,0.00
720,0.00,0.00,0.94,0.00
730,0.00,0.00,0.94,0.00
740,0.00,0.00,0.97,0.00
750,0.00,0.00,1.01,0.00
760,0.00,0.00,1.01,0.00
770,0.00,0.00,1.02,0.00
780,0.00,0.00,1.05,0.00
790,0.00,0.00,1.04,0.00
800,0.00,0.00,1.05,0.00
810,0.00,0.00,1.07,0.00
820,0.00,0.00,1.06,0.00
830,0.00,0.00,1.06,0.00
840,0.00,0.00,1.06,0.00
850,0.00,0.00,1.07,0.00
860,0.00,0.00,1.08,0.00
870,0.00,0.00,1.07,0.00
880,0.00,0.00,1.07,0.00
890,0.00,0.00,1.07,0.00
900,0.00,0.00,1.05,0.00
910,0.00,0.00,1.05,0.00
920,0.00,0.00,1.07,0.00
930,0.00,0.00,1.06,0.00
940,0.00,0.00,1.06,0.00
950,0.00,0.00,1.05,0.00
960,0.00,0.00,1.05,0.00
970,0.00,0.00,1.06,0.00
980,0.00,0.00,1.06,0.00
990,0.00,0.00,1.06,0.00
